ICD_Code,Description
M51.16,Lumbar disc with radiculopathy
M48.06,"Spinal stenosis, lumbar region"
M43.16,"Spondylolisthesis, lumbar region"
M50.1,Cervical disc with radiculopathy
M47.812,"Spondylosis without myelopathy, cervical"
M96.1,Postlaminectomy syndrome (Failed Back)
C71.9,Malignant neoplasm of brain
D32.0,Benign neoplasm of cerebral meninges (Meningioma)
S06.5,Traumatic subdural hemorrhage
G91.0,Communicating hydrocephalus
G91.1,Obstructive hydrocephalus
G56.0,Carpal tunnel syndrome
