CPT_Code,Rule_Version,Conservative_Tx_Weeks,Min_PT_Sessions,Imaging_Max_Age_Days,Conservative_Tx_Types_JSON,Criteria_Symptoms_JSON,RedFlag_Exceptions_JSON,Required_Imaging,Imaging_Findings_JSON,Bypass_Imaging_Findings_JSON,Required_Exam_Findings_JSON,Allowed_ICD_JSON,Critical_Attachments_JSON,Supportive_Attachments_JSON
63030,Lumbar-V1,6,6,180,"[""Physiotherapy"", ""NSAIDs"", ""Injections""]","[""Radiculopathy"", ""Claudication"", ""Back pain"", ""Weakness""]","[""Cauda equina"", ""Progressive deficit""]",MRI Lumbar Spine,"[""Disc herniation"", ""Stenosis"", ""Nerve compression""]","[""Cauda equina compression""]","[""SLR positive"", ""Motor deficit""]","[""M51.16"", ""M48.06""]","[""MRI Report""]","[""PT Log""]"
63047,Lumbar-V1,6,6,180,"[""Physiotherapy"", ""NSAIDs"", ""Injections""]","[""Radiculopathy"", ""Claudication"", ""Back pain"", ""Weakness""]","[""Cauda equina"", ""Progressive deficit""]",MRI Lumbar Spine,"[""Disc herniation"", ""Stenosis"", ""Nerve compression""]","[""Cauda equina compression""]","[""SLR positive"", ""Motor deficit""]","[""M51.16"", ""M48.06""]","[""MRI Report""]","[""PT Log""]"
22612,Fusion-V1,12,10,180,"[""Physiotherapy"", ""NSAIDs"", ""Bracing""]","[""Mechanical back pain"", ""Instability symptoms""]","[""Traumatic fracture""]",X-Ray Flex/Ext,"[""Spondylolisthesis"", ""Instability on dynamic views""]","[""Fracture""]","[""Step-off"", ""Severe pain with motion""]","[""M43.16"", ""M48.06""]","[""MRI Report"", ""X-Ray Report""]","[""PT Log""]"
22840,Fusion-V1,12,10,180,"[""Physiotherapy"", ""NSAIDs"", ""Bracing""]","[""Mechanical back pain"", ""Instability symptoms""]","[""Traumatic fracture""]",X-Ray Flex/Ext,"[""Spondylolisthesis"", ""Instability on dynamic views""]","[""Fracture""]","[""Step-off"", ""Severe pain with motion""]","[""M43.16"", ""M48.06""]","[""MRI Report"", ""X-Ray Report""]","[""PT Log""]"
22551,Cervical-V1,6,6,180,"[""Physiotherapy"", ""NSAIDs""]","[""Neck pain"", ""Radiculopathy"", ""Arm numbness""]","[""Myelopathy"", ""Progressive deficit""]",MRI Cervical Spine,"[""Disc herniation"", ""Cord compression"", ""Stenosis""]","[""Cord compression""]","[""Spurling positive"", ""Motor deficit""]","[""M50.1"", ""M47.812""]","[""MRI Report""]","[""PT Log""]"
63020,Cervical-V1,6,6,180,"[""Physiotherapy"", ""NSAIDs""]","[""Neck pain"", ""Radiculopathy"", ""Arm numbness""]","[""Myelopathy"", ""Progressive deficit""]",MRI Cervical Spine,"[""Disc herniation"", ""Cord compression"", ""Stenosis""]","[""Cord compression""]","[""Spurling positive"", ""Motor deficit""]","[""M50.1"", ""M47.812""]","[""MRI Report""]","[""PT Log""]"
61510,Tumor-Mal-V1,0,0,30,[],"[""Mass effect symptoms"", ""Focal deficit"", ""Seizures""]","[""Focal deficit"", ""Raised ICP signs""]",MRI Brain Contrast,"[""Intra-axial mass"", ""Edema"", ""Mass effect""]",[],"[""Neurological deficit""]","[""C71.9""]","[""MRI Report""]","[""Neuro exam note""]"
61512,Tumor-Men-V1,0,0,30,[],"[""Headache"", ""Seizures"", ""Focal deficit""]","[""Focal deficit"", ""Raised ICP signs""]",MRI Brain Contrast,"[""Extra-axial mass"", ""Dural tail""]",[],"[""Neurological deficit""]","[""D32.0""]","[""MRI Report""]",[]
61518,Tumor-PF-V1,0,0,30,[],"[""Ataxia"", ""Cranial nerve signs"", ""Hydrocephalus symptoms""]","[""Hydrocephalus symptoms""]",MRI Brain Contrast,"[""Posterior fossa mass"", ""Brainstem compression""]",[],"[""Cranial nerve deficit""]","[""C71.9"", ""D32.0""]","[""MRI Report""]",[]
61750,Biopsy-V1,0,0,30,[],"[""Lesion requiring histology""]","[""Lesion requiring histology""]",MRI Brain,"[""Deep lesion"", ""Uncertain diagnosis""]",[],[],"[""C71.9"", ""D32.0""]","[""MRI Report""]",[]
61154,Trauma-V1,0,0,2,[],"[""Low GCS"", ""Neuro deterioration""]","[""Low GCS"", ""Neuro deterioration""]",CT Brain,"[""Subdural hematoma"", ""Midline shift""]","[""Midline shift""]","[""GCS drop""]","[""S06.5""]","[""CT Report""]",[]
62223,Shunt-V1,0,0,30,[],"[""Hydrocephalus symptoms""]","[""Acute hydrocephalus""]",CT/MRI Brain,"[""Ventriculomegaly""]","[""Ventriculomegaly""]",[],"[""G91.0"", ""G91.1""]","[""CT Report""]",[]
62230,Shunt-V1,0,0,30,[],"[""Hydrocephalus symptoms""]","[""Acute hydrocephalus""]",CT/MRI Brain,"[""Ventriculomegaly""]","[""Ventriculomegaly""]",[],"[""G91.0"", ""G91.1""]","[""CT Report""]",[]
64721,CTS-V1,6,0,180,"[""Splint"", ""NSAIDs"", ""Steroid injection""]","[""Numbness"", ""Night symptoms"", ""Weakness""]","[""Thenar atrophy""]",NCS/EMG,"[""Median neuropathy""]","[""Severe median neuropathy""]","[""Tinel positive"", ""Phalen positive""]","[""G56.0""]","[""NCS/EMG Report""]","[""Clinical note""]"
63650,SCS-V1,24,12,180,"[""Physiotherapy"", ""Meds"", ""Injections""]","[""Intractable pain"", ""Failed back surgery syndrome""]",[],Psychological Evaluation,"[""Psychological clearance""]",[],"[""No progressive neuro deficit""]","[""M96.1""]","[""Psychological Evaluation"", ""Trial Log""]","[""Pain diary""]"
